Building Type,Incident Zip,Borough,Day of Week,Date of Report,Duration of Call (min)
Villa,11042,Queens,2,2023-04-04,42
Villa,11058,Queens,2,2023-02-28,8
Private Home,10452,Bronx,7,2023-11-19,16
Villa,11036,Queens,2,2023-10-17,31
Hotel,11228,Brooklyn,3,2023-11-22,54
Hotel,11220,Brooklyn,3,2023-03-08,25
Villa,11222,Brooklyn,5,2023-01-27,2
Apartment Complex,10048,Manhattan,1,2023-09-11,45
Villa,10173,Manhattan,1,2023-01-30,10
Villa,10126,Manhattan,2,2023-07-18,15
Apartment Complex,11041,Queens,6,2023-01-14,40
Hotel,10312,Staten Island,3,2023-10-11,6
Hotel,11237,Brooklyn,3,2023-03-01,60
Private Home,11023,Queens,2,2023-05-16,49
Hotel,11022,Queens,4,2023-07-06,32
Hotel,10223,Manhattan,5,2023-06-16,25
Villa,10025,Manhattan,3,2023-06-21,16
Villa,10114,Manhattan,5,2023-07-14,23
Private Home,11036,Queens,4,2023-01-26,14
Hotel,11248,Brooklyn,7,2023-09-03,20
Apartment Complex,10462,Bronx,3,2023-10-25,39
Villa,11085,Queens,2,2023-11-28,42
Apartment Complex,10310,Staten Island,6,2023-10-28,46
Villa,10028,Manhattan,4,2023-05-11,40
Private Home,10306,Staten Island,2,2023-06-20,42
Hotel,10304,Staten Island,6,2023-04-22,37
Apartment Complex,10140,Manhattan,3,2023-09-20,36
Hotel,10309,Staten Island,7,2023-08-13,46
Villa,11074,Queens,7,2023-11-19,44
Apartment Complex,11221,Brooklyn,5,2023-02-10,48
Hotel,10024,Manhattan,3,2023-02-08,38
Hotel,10305,Staten Island,7,2023-08-06,25
Private Home,11056,Queens,3,2023-11-08,45
Private Home,10133,Manhattan,4,2023-11-30,6
Private Home,11204,Brooklyn,6,2023-08-19,36
Apartment Complex,11241,Brooklyn,3,2023-02-15,43
Villa,10312,Staten Island,6,2023-05-20,9
Apartment Complex,10313,Staten Island,7,2023-02-12,15
Private Home,11058,Queens,5,2023-09-15,51
Villa,10305,Staten Island,2,2023-07-11,18
Hotel,11009,Queens,6,2023-07-29,15
Apartment Complex,10309,Staten Island,1,2023-08-07,14
Apartment Complex,11209,Brooklyn,5,2023-08-18,25
Villa,11006,Queens,4,2023-09-21,33
Private Home,10050,Manhattan,2,2023-08-08,21
Hotel,10305,Staten Island,2,2023-06-27,15
Apartment Complex,10474,Bronx,4,2023-02-02,13
Villa,10306,Staten Island,2,2023-02-07,47
Apartment Complex,11073,Queens,7,2023-11-26,52
Villa,10471,Bronx,2,2023-04-18,12
Private Home,10302,Staten Island,4,2023-08-10,11
Private Home,10269,Manhattan,3,2023-02-08,55
Apartment Complex,11029,Queens,1,2023-07-03,4
Villa,11004,Queens,7,2023-03-05,47
Apartment Complex,11219,Brooklyn,3,2023-11-15,53
Private Home,10303,Staten Island,3,2023-12-20,14
Apartment Complex,11051,Queens,3,2023-11-22,34
Hotel,10233,Manhattan,3,2023-12-06,29
Apartment Complex,11076,Queens,7,2023-02-05,58
Private Home,10473,Bronx,4,2023-09-28,16
Apartment Complex,10456,Bronx,6,2023-09-16,23
Villa,11231,Brooklyn,5,2023-12-08,52
Apartment Complex,10312,Staten Island,7,2023-05-28,42
Hotel,11224,Brooklyn,7,2023-04-02,23
Hotel,11220,Brooklyn,6,2023-11-11,30
Villa,11023,Queens,1,2023-08-07,20
Apartment Complex,10309,Staten Island,3,2023-07-05,32
Hotel,10026,Manhattan,5,2023-03-10,39
Hotel,10027,Manhattan,4,2023-12-14,13
Private Home,11048,Queens,3,2023-03-08,20
Private Home,10206,Manhattan,6,2023-03-25,57
Hotel,10200,Manhattan,3,2023-06-07,39
Private Home,11253,Brooklyn,1,2023-01-30,17
Private Home,10024,Manhattan,5,2023-05-19,56
Villa,10198,Manhattan,3,2023-08-09,40
Private Home,10229,Manhattan,4,2023-10-05,26
Villa,10310,Staten Island,7,2023-03-12,32
Apartment Complex,10458,Bronx,2,2023-06-06,53
Private Home,10308,Staten Island,4,2023-10-12,46
Private Home,10169,Manhattan,4,2023-09-14,59
Villa,11055,Queens,4,2023-11-23,8
Hotel,10308,Staten Island,2,2023-12-05,32
Private Home,10457,Bronx,4,2023-06-22,4
Private Home,11005,Queens,5,2023-10-27,28
Hotel,10471,Bronx,1,2023-11-13,3
Hotel,10058,Manhattan,4,2023-06-01,41
Hotel,10303,Staten Island,3,2023-03-15,3
Villa,10313,Staten Island,1,2023-05-15,43
Apartment Complex,10469,Bronx,3,2023-09-27,42
Hotel,10454,Bronx,3,2023-01-18,39
Villa,10157,Manhattan,1,2023-09-04,46
Apartment Complex,11212,Brooklyn,7,2023-05-07,18
Hotel,11083,Queens,2,2023-06-27,39
Hotel,11078,Queens,6,2023-11-11,45
Private Home,11076,Queens,5,2023-06-09,53
Apartment Complex,10278,Manhattan,6,2023-03-25,28
Private Home,10311,Staten Island,1,2023-03-20,10
Villa,10260,Manhattan,2,2023-01-31,45
Hotel,10305,Staten Island,4,2023-04-20,45
Villa,11091,Queens,2,2023-10-31,9
Apartment Complex,11206,Brooklyn,4,2023-07-06,26
Private Home,10454,Bronx,7,2023-04-23,27
Villa,11238,Brooklyn,7,2023-08-27,60
Villa,11233,Brooklyn,4,2023-04-06,44
Private Home,10472,Bronx,3,2023-04-26,24
Apartment Complex,11236,Brooklyn,3,2023-02-22,33
Villa,11207,Brooklyn,4,2023-07-06,43
Villa,10310,Staten Island,4,2023-03-23,18
Hotel,10471,Bronx,7,2023-09-24,2
Apartment Complex,10462,Bronx,3,2023-11-01,34
Private Home,10270,Manhattan,6,2023-09-16,57
Villa,10459,Bronx,2,2023-10-03,46
Villa,10467,Bronx,5,2023-06-09,31
Villa,11046,Queens,3,2023-10-25,37
Apartment Complex,10468,Bronx,3,2023-05-10,22
Private Home,10458,Bronx,1,2023-08-07,49
Villa,10148,Manhattan,5,2023-06-23,12
Villa,11238,Brooklyn,7,2023-04-23,7
Hotel,10048,Manhattan,5,2023-04-14,25
Hotel,10461,Bronx,4,2023-02-02,53
Apartment Complex,11085,Queens,7,2023-04-30,17
Private Home,10281,Manhattan,3,2023-09-06,44
Hotel,10458,Bronx,2,2023-03-07,28
Private Home,11231,Brooklyn,1,2023-10-16,30
Apartment Complex,11043,Queens,4,2023-08-24,46
Hotel,11050,Queens,5,2023-11-17,31
Apartment Complex,10052,Manhattan,5,2023-04-07,43
Villa,10303,Staten Island,3,2023-12-20,35
Apartment Complex,10463,Bronx,3,2023-05-31,3
Hotel,11254,Brooklyn,3,2023-10-25,8
Hotel,11095,Queens,7,2023-01-15,44
Private Home,11248,Brooklyn,7,2023-04-16,18
Apartment Complex,11228,Brooklyn,6,2023-05-06,24
Hotel,11048,Queens,5,2023-10-06,33
Private Home,11039,Queens,1,2023-07-17,33
Villa,10307,Staten Island,3,2023-06-07,51
Private Home,10467,Bronx,3,2023-01-25,48
Apartment Complex,11084,Queens,1,2023-07-03,59
Apartment Complex,11252,Brooklyn,1,2023-04-17,18
Apartment Complex,11072,Queens,4,2023-05-04,50
Villa,11023,Queens,1,2023-12-04,19
Apartment Complex,11234,Brooklyn,1,2023-07-31,37
Apartment Complex,11212,Brooklyn,3,2023-08-30,40
Private Home,11240,Brooklyn,4,2023-04-20,34
Private Home,10313,Staten Island,2,2023-05-02,23
Villa,10149,Manhattan,7,2023-03-26,46
Hotel,10469,Bronx,6,2023-07-15,28
Villa,11010,Queens,6,2023-12-16,33
Apartment Complex,10313,Staten Island,6,2023-01-14,34
Private Home,11209,Brooklyn,5,2023-06-16,31
Apartment Complex,10120,Manhattan,2,2023-04-18,56
Apartment Complex,10464,Bronx,7,2023-10-01,28
Villa,10272,Manhattan,7,2023-01-01,21
Apartment Complex,11104,Queens,2,2023-01-24,21
Apartment Complex,10461,Bronx,5,2023-05-26,9
Private Home,10303,Staten Island,2,2023-12-05,35
Villa,11080,Queens,4,2023-02-02,11
Villa,11062,Queens,4,2023-03-30,25
Villa,11016,Queens,3,2023-11-15,14
Private Home,10181,Manhattan,4,2023-11-30,29
Hotel,11027,Queens,5,2023-01-20,23
Private Home,10258,Manhattan,4,2023-03-16,58
Private Home,10471,Bronx,1,2023-11-20,13
Villa,11218,Brooklyn,2,2023-07-25,21
Villa,10456,Bronx,2,2023-12-12,32
Private Home,11070,Queens,6,2023-07-15,14
Hotel,10307,Staten Island,6,2023-01-07,18
Apartment Complex,11221,Brooklyn,1,2023-11-06,19
Apartment Complex,11234,Brooklyn,6,2023-04-22,56
Hotel,11220,Brooklyn,6,2023-12-23,5
Private Home,10115,Manhattan,3,2023-05-31,10
Hotel,10310,Staten Island,3,2023-06-21,13
Private Home,11244,Brooklyn,6,2023-07-01,45
Villa,11226,Brooklyn,6,2023-07-29,60
Apartment Complex,10168,Manhattan,3,2023-11-29,22
Apartment Complex,10471,Bronx,4,2023-10-12,36
Villa,10232,Manhattan,7,2023-06-18,13
Apartment Complex,11008,Queens,4,2023-08-24,4
Private Home,10302,Staten Island,1,2023-04-17,5
Villa,10099,Manhattan,4,2023-12-14,40
Villa,11077,Queens,6,2023-08-05,32
Hotel,10474,Bronx,2,2023-09-19,27
Villa,10019,Manhattan,3,2023-03-08,9
Villa,11094,Queens,3,2023-06-07,18
Apartment Complex,10454,Bronx,5,2023-03-24,40
Private Home,11103,Queens,1,2023-09-18,54
Private Home,11094,Queens,1,2023-06-26,48
Apartment Complex,10312,Staten Island,6,2023-04-29,11
Villa,11060,Queens,4,2023-07-27,25
Villa,10281,Manhattan,7,2023-09-17,32
Hotel,10469,Bronx,4,2023-02-23,47
Hotel,10083,Manhattan,4,2023-08-17,17
Apartment Complex,11070,Queens,3,2023-06-28,20
Private Home,11238,Brooklyn,2,2023-10-17,19
Apartment Complex,11039,Queens,6,2023-07-08,28
Villa,10306,Staten Island,5,2023-02-17,3
Private Home,10079,Manhattan,5,2023-01-06,37
Apartment Complex,11242,Brooklyn,3,2023-04-26,19
Villa,10306,Staten Island,1,2023-03-06,52
Private Home,11247,Brooklyn,1,2023-11-20,35
Hotel,10457,Bronx,6,2023-10-14,5
Villa,10301,Staten Island,6,2023-06-17,29
Villa,10313,Staten Island,4,2023-06-22,37
Private Home,10304,Staten Island,3,2023-08-30,53
Villa,11217,Brooklyn,4,2023-02-23,24
Villa,11027,Queens,4,2023-10-26,1
Apartment Complex,11248,Brooklyn,3,2023-01-04,12
Villa,11235,Brooklyn,4,2023-01-12,4
Private Home,10078,Manhattan,1,2023-06-12,60
Hotel,10147,Manhattan,5,2023-07-14,57
Villa,11235,Brooklyn,6,2023-07-15,43
Hotel,10306,Staten Island,6,2023-11-04,43
Private Home,11223,Brooklyn,3,2023-03-15,24
Private Home,10109,Manhattan,7,2023-07-02,43
Private Home,11045,Queens,1,2023-10-09,36
Apartment Complex,10312,Staten Island,4,2023-09-28,56
Private Home,11244,Brooklyn,7,2023-06-04,2
Apartment Complex,10313,Staten Island,4,2023-09-07,39
Hotel,10458,Bronx,3,2023-08-02,30
Villa,10457,Bronx,6,2023-02-04,28
Hotel,11236,Brooklyn,1,2023-04-24,9
Villa,10009,Manhattan,2,2023-08-29,20
Hotel,10174,Manhattan,5,2023-04-28,46
Apartment Complex,10281,Manhattan,4,2023-05-04,32
Hotel,10219,Manhattan,6,2023-05-27,13
Private Home,10050,Manhattan,3,2023-03-29,44
Private Home,10266,Manhattan,5,2023-08-25,4
Hotel,11231,Brooklyn,3,2023-01-25,23
Villa,10458,Bronx,2,2023-10-17,57
Villa,10309,Staten Island,3,2023-12-06,7
Villa,10452,Bronx,1,2023-08-07,22
Villa,10175,Manhattan,6,2023-12-02,60
Private Home,11216,Brooklyn,4,2023-11-16,28
Private Home,10467,Bronx,4,2023-04-13,34
Hotel,10310,Staten Island,5,2023-07-07,40
Hotel,10303,Staten Island,4,2023-03-23,59
Private Home,10068,Manhattan,4,2023-08-17,37
Hotel,10307,Staten Island,2,2023-02-21,27
Apartment Complex,11016,Queens,2,2023-12-19,36
Villa,10067,Manhattan,1,2023-03-13,22
Apartment Complex,10453,Bronx,4,2023-06-01,20
Private Home,10464,Bronx,5,2023-03-17,27
Hotel,10251,Manhattan,2,2023-07-04,3
Apartment Complex,11071,Queens,4,2023-07-27,35
Private Home,10304,Staten Island,3,2023-05-24,3
Hotel,10461,Bronx,4,2023-07-06,5
Hotel,11037,Queens,2,2023-01-24,15
Private Home,10307,Staten Island,5,2023-12-01,59
Villa,10455,Bronx,4,2023-04-06,24
Villa,10281,Manhattan,5,2023-05-12,24
Private Home,11058,Queens,4,2023-03-09,31
Apartment Complex,11051,Queens,3,2023-06-28,3
Villa,10301,Staten Island,1,2023-08-21,34
Hotel,10302,Staten Island,3,2023-05-17,22
Villa,10462,Bronx,3,2023-05-31,54
Villa,11044,Queens,5,2023-10-27,6
Apartment Complex,10306,Staten Island,1,2023-10-09,29
Hotel,10020,Manhattan,6,2023-09-09,45
Apartment Complex,10466,Bronx,5,2023-09-08,59
Villa,11242,Brooklyn,7,2023-01-15,26
Apartment Complex,11058,Queens,7,2023-11-12,49
Hotel,10304,Staten Island,5,2023-02-24,13
Hotel,10303,Staten Island,7,2023-12-31,33
Apartment Complex,10454,Bronx,2,2023-11-21,24
Villa,10460,Bronx,1,2023-02-06,32
Villa,10304,Staten Island,5,2023-11-24,42
Villa,10464,Bronx,3,2023-07-12,53
Apartment Complex,11212,Brooklyn,7,2023-10-22,6
Villa,10304,Staten Island,3,2023-09-27,26
Apartment Complex,10452,Bronx,1,2023-04-03,24
Private Home,10268,Manhattan,2,2023-12-12,59
Private Home,10307,Staten Island,7,2023-07-23,23
Apartment Complex,11211,Brooklyn,4,2023-11-23,54
Hotel,10312,Staten Island,3,2023-11-29,58
Apartment Complex,11214,Brooklyn,1,2023-07-17,18
Apartment Complex,10461,Bronx,2,2023-01-10,23
Apartment Complex,10303,Staten Island,6,2023-02-11,42
Apartment Complex,10310,Staten Island,6,2023-02-25,27
Villa,10471,Bronx,3,2023-10-18,5
Apartment Complex,10301,Staten Island,7,2023-03-05,6
Villa,10307,Staten Island,5,2023-12-29,43
Hotel,10451,Bronx,2,2023-05-02,18
Villa,10459,Bronx,2,2023-12-19,43
Apartment Complex,11208,Brooklyn,5,2023-11-17,16
Villa,10306,Staten Island,2,2023-08-08,2
Hotel,10313,Staten Island,5,2023-11-03,3
Private Home,10464,Bronx,3,2023-01-25,57
Hotel,11207,Brooklyn,7,2023-01-01,59
Villa,10307,Staten Island,6,2023-09-09,11
Villa,11076,Queens,6,2023-01-21,59
Villa,10153,Manhattan,3,2023-02-01,43
Private Home,11210,Brooklyn,7,2023-05-07,20
Apartment Complex,11100,Queens,7,2023-12-03,32
Private Home,10470,Bronx,1,2023-02-06,59
Apartment Complex,11222,Brooklyn,1,2023-02-27,12
Apartment Complex,10301,Staten Island,7,2023-09-10,3
Villa,10303,Staten Island,7,2023-11-26,53
Villa,10202,Manhattan,7,2023-02-26,22
Hotel,10474,Bronx,2,2023-05-16,36
Apartment Complex,10457,Bronx,2,2023-11-21,30
Villa,11210,Brooklyn,6,2023-05-20,6
Private Home,11203,Brooklyn,4,2023-08-17,19
Private Home,10304,Staten Island,2,2023-02-21,19
Private Home,10132,Manhattan,3,2023-12-13,45
Hotel,10452,Bronx,2,2023-07-25,32
Villa,11078,Queens,1,2023-09-11,31
Apartment Complex,10305,Staten Island,7,2023-12-03,46
Private Home,10059,Manhattan,5,2023-08-04,37
Private Home,11243,Brooklyn,3,2023-09-06,22
Hotel,11214,Brooklyn,6,2023-10-28,14
Hotel,10093,Manhattan,7,2023-05-28,38
Apartment Complex,11235,Brooklyn,3,2023-03-15,38
Apartment Complex,11239,Brooklyn,7,2023-06-25,53
Apartment Complex,11246,Brooklyn,3,2023-04-26,51
Hotel,10162,Manhattan,4,2023-03-09,44
Hotel,10302,Staten Island,1,2023-08-21,17
Apartment Complex,10307,Staten Island,2,2023-07-11,13
Hotel,11206,Brooklyn,7,2023-11-12,51
Private Home,11068,Queens,5,2023-12-08,45
Apartment Complex,10231,Manhattan,7,2023-01-29,31
Private Home,11040,Queens,6,2023-05-27,55
Private Home,10465,Bronx,5,2023-04-21,42
Hotel,10313,Staten Island,2,2023-12-12,45
Hotel,10465,Bronx,2,2023-10-17,28
Apartment Complex,11046,Queens,6,2023-05-06,47
Private Home,11253,Brooklyn,7,2023-02-26,2
Private Home,10069,Manhattan,3,2023-12-06,31
Hotel,10073,Manhattan,5,2023-02-03,54
Private Home,11098,Queens,3,2023-08-16,36
Hotel,11204,Brooklyn,5,2023-09-22,24
Hotel,10308,Staten Island,4,2023-03-23,3
Apartment Complex,10312,Staten Island,2,2023-05-02,8
Apartment Complex,11233,Brooklyn,4,2023-02-02,27
Villa,11230,Brooklyn,3,2023-07-12,55
Villa,10303,Staten Island,5,2023-12-08,38
Private Home,11092,Queens,1,2023-09-11,33
Villa,11063,Queens,6,2023-06-17,30
Apartment Complex,11211,Brooklyn,6,2023-02-11,24
Hotel,10455,Bronx,3,2023-03-01,59
Hotel,11031,Queens,2,2023-05-23,52
Hotel,11205,Brooklyn,5,2023-08-11,58
Apartment Complex,10469,Bronx,7,2023-09-10,41
Apartment Complex,11094,Queens,5,2023-09-01,58
Apartment Complex,10058,Manhattan,1,2023-11-27,19
Villa,11231,Brooklyn,2,2023-08-01,56
Apartment Complex,10131,Manhattan,5,2023-07-21,44
Villa,10302,Staten Island,2,2023-05-02,25
Apartment Complex,11236,Brooklyn,1,2023-08-28,21
Hotel,11095,Queens,4,2023-07-13,31
Apartment Complex,10312,Staten Island,2,2023-04-11,21
Apartment Complex,10263,Manhattan,1,2023-04-17,22
Apartment Complex,10459,Bronx,1,2023-08-07,33
Villa,10263,Manhattan,2,2023-04-18,50
Hotel,10474,Bronx,3,2023-04-26,22
Apartment Complex,10303,Staten Island,4,2023-03-16,24
Apartment Complex,10460,Bronx,5,2023-05-05,15
Apartment Complex,10087,Manhattan,2,2023-02-14,43
Villa,10047,Manhattan,6,2023-10-14,50
Apartment Complex,10465,Bronx,2,2023-04-25,16
Villa,10462,Bronx,1,2023-05-08,43
Private Home,10465,Bronx,2,2023-04-18,46
Hotel,10465,Bronx,7,2023-07-02,5
Apartment Complex,11250,Brooklyn,2,2023-07-04,35
Villa,10458,Bronx,5,2023-04-07,54
Hotel,10171,Manhattan,2,2023-08-15,60
Hotel,10311,Staten Island,3,2023-05-03,40
Hotel,11076,Queens,2,2023-02-21,5
Villa,10471,Bronx,3,2023-09-20,55
Hotel,10257,Manhattan,3,2023-08-30,23
Private Home,10456,Bronx,5,2023-04-28,37
Hotel,10304,Staten Island,3,2023-08-16,42
Hotel,11203,Brooklyn,1,2023-06-12,29
Hotel,10306,Staten Island,5,2023-12-15,48
Apartment Complex,11029,Queens,2,2023-10-10,17
Hotel,10124,Manhattan,6,2023-09-09,17
Hotel,10302,Staten Island,5,2023-07-14,46
Hotel,11023,Queens,4,2023-03-16,57
Villa,11218,Brooklyn,3,2023-03-01,13
Apartment Complex,10312,Staten Island,2,2023-06-27,60
Villa,11043,Queens,4,2023-05-04,11
Private Home,11093,Queens,3,2023-05-17,23
Private Home,10456,Bronx,7,2023-03-26,23
Villa,10306,Staten Island,6,2023-03-18,51
Private Home,11252,Brooklyn,7,2023-12-24,53
Apartment Complex,10306,Staten Island,4,2023-11-23,14
Hotel,11251,Brooklyn,7,2023-12-03,16
Villa,11247,Brooklyn,5,2023-04-28,30
Hotel,10102,Manhattan,3,2023-05-17,56
Villa,11223,Brooklyn,7,2023-07-30,20
Villa,11204,Brooklyn,5,2023-07-14,13
Private Home,11241,Brooklyn,6,2023-05-20,7
Apartment Complex,11253,Brooklyn,4,2023-08-03,47
Private Home,11105,Queens,5,2023-09-29,49
Apartment Complex,10306,Staten Island,4,2023-06-01,36
Private Home,10466,Bronx,4,2023-11-30,49
Private Home,10471,Bronx,4,2023-02-23,44
Apartment Complex,11060,Queens,4,2023-08-10,23
Private Home,10469,Bronx,3,2023-12-27,23
Villa,10451,Bronx,5,2023-07-07,34
Private Home,10471,Bronx,2,2023-01-03,13
Apartment Complex,11076,Queens,2,2023-04-04,28
Private Home,10460,Bronx,7,2023-09-17,20
Hotel,11254,Brooklyn,3,2023-03-08,55
Private Home,10452,Bronx,5,2023-02-17,34
Villa,10254,Manhattan,6,2023-10-07,34
Hotel,10309,Staten Island,1,2023-11-13,11
Hotel,11203,Brooklyn,6,2023-11-04,15
Private Home,10462,Bronx,4,2023-04-20,16
Private Home,10473,Bronx,3,2023-04-05,6
Private Home,11209,Brooklyn,2,2023-11-28,49
Villa,11046,Queens,4,2023-08-31,45
Apartment Complex,11233,Brooklyn,7,2023-01-01,34
Apartment Complex,11225,Brooklyn,3,2023-11-08,20
Private Home,10458,Bronx,1,2023-03-06,1
Villa,11004,Queens,2,2023-01-10,45
Villa,10465,Bronx,1,2023-03-27,20
Hotel,10221,Manhattan,3,2023-09-13,3
Apartment Complex,10050,Manhattan,4,2023-11-30,25
Hotel,11104,Queens,5,2023-12-08,31
Hotel,11009,Queens,7,2023-08-06,27
Apartment Complex,11244,Brooklyn,6,2023-12-09,37
Private Home,11070,Queens,2,2023-08-22,43
Hotel,11214,Brooklyn,2,2023-09-12,44
Apartment Complex,11202,Brooklyn,3,2023-05-24,46
Hotel,10451,Bronx,6,2023-08-05,34
Apartment Complex,10088,Manhattan,7,2023-09-17,47
Hotel,10224,Manhattan,7,2023-02-12,59
Hotel,11227,Brooklyn,4,2023-01-12,58
Villa,11084,Queens,4,2023-02-16,48
Private Home,11255,Brooklyn,3,2023-03-01,47
Apartment Complex,10452,Bronx,3,2023-09-27,11
Villa,10161,Manhattan,6,2023-08-12,32
Apartment Complex,11040,Queens,6,2023-09-09,50
Hotel,11008,Queens,2,2023-03-07,59
Apartment Complex,11034,Queens,2,2023-10-17,32
Hotel,10452,Bronx,6,2023-05-27,37
Apartment Complex,10148,Manhattan,1,2023-12-18,56
Hotel,11016,Queens,6,2023-10-21,38
Private Home,10473,Bronx,4,2023-04-20,58
Apartment Complex,10135,Manhattan,5,2023-06-09,55
Villa,10467,Bronx,1,2023-05-08,34
Apartment Complex,11061,Queens,5,2023-10-27,10
Hotel,10464,Bronx,2,2023-09-12,27
Private Home,10017,Manhattan,5,2023-02-17,6
Hotel,10467,Bronx,4,2023-03-02,4
Hotel,11071,Queens,6,2023-06-24,47
Private Home,11105,Queens,5,2023-09-08,14
Apartment Complex,10092,Manhattan,6,2023-09-23,2
Hotel,10454,Bronx,4,2023-09-28,36
Hotel,10021,Manhattan,5,2023-01-06,4
Hotel,11097,Queens,4,2023-04-13,54
Hotel,11089,Queens,5,2023-04-28,37
Hotel,10036,Manhattan,1,2023-06-19,22
Private Home,11220,Brooklyn,5,2023-05-12,18
Private Home,11027,Queens,2,2023-05-30,53
Villa,10308,Staten Island,7,2023-05-28,11
Apartment Complex,10304,Staten Island,5,2023-09-08,22
Hotel,11054,Queens,7,2023-10-01,41
Villa,11029,Queens,6,2023-03-11,49
Private Home,10008,Manhattan,2,2023-02-07,28
Hotel,10218,Manhattan,1,2023-08-28,21
Hotel,10062,Manhattan,5,2023-02-17,35
Hotel,11226,Brooklyn,2,2023-12-26,38
Hotel,10017,Manhattan,5,2023-11-03,5
Apartment Complex,11087,Queens,7,2023-06-25,7
Villa,10311,Staten Island,3,2023-03-29,35
Private Home,10456,Bronx,5,2023-02-03,55
Private Home,11212,Brooklyn,5,2023-12-01,11
Apartment Complex,10107,Manhattan,7,2023-06-11,6
Hotel,10458,Bronx,2,2023-10-31,3
Villa,10472,Bronx,7,2023-04-09,47
Apartment Complex,10306,Staten Island,4,2023-11-30,16
Private Home,10136,Manhattan,6,2023-12-09,49
Hotel,10305,Staten Island,4,2023-03-09,28
Private Home,10301,Staten Island,5,2023-03-17,43
Private Home,11029,Queens,4,2023-12-21,60
Villa,11056,Queens,6,2023-04-15,53
Hotel,11249,Brooklyn,5,2023-10-27,51
Private Home,10301,Staten Island,6,2023-05-27,42
Hotel,11252,Brooklyn,2,2023-12-19,54
Apartment Complex,10472,Bronx,7,2023-05-14,10
Villa,10454,Bronx,2,2023-04-11,31
Apartment Complex,10143,Manhattan,7,2023-01-29,11
Private Home,10301,Staten Island,5,2023-11-03,42
Private Home,11076,Queens,7,2023-06-11,16
Villa,11024,Queens,6,2023-09-09,24
Apartment Complex,10085,Manhattan,1,2023-07-03,52
Hotel,10453,Bronx,3,2023-03-22,49
Apartment Complex,11074,Queens,7,2023-09-03,30
Hotel,10303,Staten Island,5,2023-02-03,1
Villa,10472,Bronx,5,2023-02-10,56
Private Home,11214,Brooklyn,2,2023-01-03,56
Private Home,10457,Bronx,6,2023-02-04,1
Villa,10301,Staten Island,5,2023-10-27,16
Private Home,10471,Bronx,3,2023-07-12,28
Hotel,11092,Queens,7,2023-10-22,23
Villa,10183,Manhattan,3,2023-06-21,17
Private Home,10116,Manhattan,6,2023-09-16,18
Villa,10461,Bronx,7,2023-02-26,6
Hotel,10301,Staten Island,4,2023-02-23,30
Villa,10451,Bronx,6,2023-02-11,16
Apartment Complex,11028,Queens,7,2023-02-26,23
Villa,10304,Staten Island,3,2023-04-19,3
Apartment Complex,10307,Staten Island,1,2023-10-16,29
Villa,10467,Bronx,4,2023-12-07,7
Villa,10213,Manhattan,3,2023-10-04,40
Villa,11066,Queens,4,2023-08-10,41
Villa,10464,Bronx,1,2023-06-12,20
Private Home,10228,Manhattan,2,2023-07-25,46
Hotel,10310,Staten Island,1,2023-06-26,15
Villa,11236,Brooklyn,2,2023-07-25,35
Hotel,11245,Brooklyn,5,2023-08-18,9
Apartment Complex,10312,Staten Island,7,2023-07-16,21
Private Home,11092,Queens,4,2023-07-20,10
Villa,10454,Bronx,7,2023-06-18,18
Villa,11074,Queens,2,2023-10-31,53
Villa,11048,Queens,3,2023-07-26,19
Private Home,10176,Manhattan,5,2023-03-03,46
Hotel,11218,Brooklyn,5,2023-10-06,5
Villa,10461,Bronx,7,2023-06-18,40
Villa,10473,Bronx,6,2023-04-22,48
Villa,10220,Manhattan,6,2023-10-14,42
Private Home,10466,Bronx,4,2023-06-08,9
Private Home,10311,Staten Island,2,2023-09-12,16
Private Home,11254,Brooklyn,6,2023-04-08,56
Apartment Complex,11069,Queens,7,2023-01-29,55
Apartment Complex,10304,Staten Island,4,2023-11-16,11
Apartment Complex,11036,Queens,4,2023-08-03,44
Villa,10303,Staten Island,5,2023-01-13,6
Hotel,10463,Bronx,5,2023-11-03,49
Apartment Complex,11237,Brooklyn,1,2023-06-12,34
Hotel,10208,Manhattan,5,2023-07-21,48
Hotel,11236,Brooklyn,2,2023-09-12,12
Apartment Complex,10023,Manhattan,2,2023-05-09,24
Villa,10306,Staten Island,7,2023-07-09,11
Hotel,10152,Manhattan,3,2023-09-27,4
Hotel,11255,Brooklyn,7,2023-11-05,48
Villa,10456,Bronx,5,2023-08-18,1
Private Home,10458,Bronx,4,2023-10-19,41
Villa,10129,Manhattan,1,2023-09-11,28
Apartment Complex,11253,Brooklyn,1,2023-03-06,58
Villa,10135,Manhattan,4,2023-08-17,49
Hotel,10470,Bronx,3,2023-08-09,54
Apartment Complex,10467,Bronx,4,2023-08-17,53
Villa,11005,Queens,3,2023-11-29,44
Hotel,11214,Brooklyn,2,2023-02-28,15
Apartment Complex,10464,Bronx,6,2023-03-25,44
Hotel,11228,Brooklyn,7,2023-10-01,1
Hotel,10303,Staten Island,3,2023-05-17,19
Villa,11005,Queens,3,2023-07-12,1
Hotel,11242,Brooklyn,3,2023-12-06,15
Apartment Complex,10313,Staten Island,6,2023-07-22,13
Villa,10051,Manhattan,6,2023-01-07,5
Villa,10154,Manhattan,3,2023-03-29,57
Villa,10308,Staten Island,5,2023-04-14,29
Hotel,11022,Queens,2,2023-08-29,1
Hotel,10463,Bronx,4,2023-01-05,28
